Player,Pos,Age,G,3P,3PA,PTS,TRB,AST,threes_made,threes_trials
Brandon Miller,SF,21,74,184,493,1279,315,175,184,493
Lauri Markkanen,PF,26,55,175,439,1278,449,110,175,439
Fred VanVleet,PG,29,73,227,586,1270,278,589,227,586
Donte DiVincenzo,SG,27,81,283,705,1259,297,216,283,705
Jamal Murray,PG,26,59,145,341,1250,242,384,145,341
Jimmy Butler,PF,34,60,60,145,1246,318,298,60,145
Tobias Harris,PF,31,70,91,258,1204,453,217,91,258
James Harden,PG,34,72,186,488,1192,369,614,186,488
Scottie Barnes,SG,22,60,101,296,1191,494,363,101,296
Jonathan Kuminga,PF,21,74,53,165,1188,355,163,53,165
Jaden Ivey,SG,21,77,124,369,1185,264,296,124,369
Keegan Murray,SF,23,77,183,511,1172,420,129,183,511
Kristaps Porziņģis,C,28,57,110,293,1145,409,115,110,293
Tim Hardaway Jr.,SF,31,79,211,597,1139,254,139,211,597
Jerami Grant,PF,29,54,111,276,1132,191,152,111,276
Bobby Portis,PF,28,82,100,246,1130,607,104,100,246
Malik Monk,SG,25,72,148,423,1110,212,370,148,423
Derrick White,SG,29,73,196,495,1107,310,377,196,495
Deni Avdija,SF,23,75,88,235,1102,540,286,88,235
Julius Randle,PF,29,46,76,244,1102,423,229,76,244
Naz Reid,PF,24,81,169,408,1090,423,106,169,408
Keldon Johnson,SF,24,69,127,367,1084,377,195,127,367
Corey Kispert,SF,24,80,184,480,1070,225,156,184,480
Norman Powell,SG,30,76,167,384,1056,195,82,167,384
Kelly Oubre Jr.,SF,28,68,101,325,1049,341,101,101,325
Jabari Smith Jr.,PF,20,76,138,380,1044,616,121,138,380
Anfernee Simons,SG,24,46,156,405,1039,167,255,156,405
Darius Garland,PG,24,57,132,356,1028,152,373,132,356
John Collins,PF,26,68,86,232,1027,575,77,86,232
Grayson Allen,SG,28,75,205,445,1014,295,227,205,445
